{'epoch': 1, 'train_loss': 0.0063, 'train_p@8': 0.53247, 'train_p@15': 0.41122, 'l2_loss': -0.33163, 'valid_loss': 0.00565, 'valid_p@8': 0.67638, 'valid_p@15': 0.52701, 'valid': {'acc_macro': 0.02878899873718623, 'prec_macro': 0.043821629881013686, 'rec_macro': 0.04202760458755686, 'f1_macro': 0.04290587200741467, 'acc_micro': 0.346794561771186, 'prec_micro': 0.5941628688486857, 'rec_micro': 0.454439828181114, 'f1_micro': 0.5149925187032419, 'rec_at_15': 0.5116571415024678, 'prec_at_15': 0.5268342530145105, 'f1_at_15': 0.5191347937329206, 'auc_macro': 0.9220348915188197, 'auc_micro': 0.9862003495120865, 'auprc_macro': 0.25669166037082913, 'auprc_micro': 0.5084415757893289, 'valid_p@8': 0.67638, 'valid_p@15': 0.52701}, 'lr': 0.0005}
{'epoch': 2, 'train_loss': 0.0049, 'train_p@8': 0.64455, 'train_p@15': 0.50099, 'l2_loss': -0.5847, 'valid_loss': 0.00522, 'valid_p@8': 0.70925, 'valid_p@15': 0.55743, 'valid': {'acc_macro': 0.039809942201802, 'prec_macro': 0.05796369390086802, 'rec_macro': 0.0579104045499033, 'f1_macro': 0.05793703697176314, 'acc_micro': 0.3756229235880399, 'prec_micro': 0.5883405154890642, 'rec_micro': 0.5095415815787621, 'f1_micro': 0.5461132075471699, 'rec_at_15': 0.5414858831868622, 'prec_at_15': 0.5573267933782955, 'f1_at_15': 0.5492921539265712, 'auc_macro': 0.9408737515284298, 'auc_micro': 0.9897728786037742, 'auprc_macro': 0.31567080207845455, 'auprc_micro': 0.5484754755030756, 'valid_p@8': 0.70925, 'valid_p@15': 0.55743}, 'lr': 0.0005}
{'epoch': 3, 'train_loss': 0.0046, 'train_p@8': 0.67374, 'train_p@15': 0.52479, 'l2_loss': -0.59965, 'valid_loss': 0.00507, 'valid_p@8': 0.72599, 'valid_p@15': 0.57089, 'valid': {'acc_macro': 0.0536555963622396, 'prec_macro': 0.07221845672880821, 'rec_macro': 0.0783432549768653, 'f1_macro': 0.07515627851788743, 'acc_micro': 0.3870687083623347, 'prec_micro': 0.5683468992955433, 'rec_micro': 0.548236039715513, 'f1_micro': 0.5581103604007241, 'rec_at_15': 0.553748110496576, 'prec_at_15': 0.5708154506437768, 'f1_at_15': 0.5621522662813598, 'auc_macro': 0.9484632672283099, 'auc_micro': 0.9910276888430412, 'auprc_macro': 0.3480811990450363, 'auprc_micro': 0.5674828892797391, 'valid_p@8': 0.72599, 'valid_p@15': 0.57089}, 'lr': 0.0005}
{'epoch': 4, 'train_loss': 0.00441, 'train_p@8': 0.69088, 'train_p@15': 0.53886, 'l2_loss': -0.59853, 'valid_loss': 0.00499, 'valid_p@8': 0.73448, 'valid_p@15': 0.57994, 'valid': {'acc_macro': 0.06315577279649094, 'prec_macro': 0.08300933373434986, 'rec_macro': 0.09354074078242502, 'f1_macro': 0.08796093222411935, 'acc_micro': 0.3926359671317381, 'prec_micro': 0.5543873975026369, 'rec_micro': 0.573691993521583, 'f1_micro': 0.563874517675151, 'rec_at_15': 0.5623677898476692, 'prec_at_15': 0.5797261393827917, 'f1_at_15': 0.5709150523920447, 'auc_macro': 0.951030646842926, 'auc_micro': 0.9916525887061381, 'auprc_macro': 0.37091182970816045, 'auprc_micro': 0.5783222614336068, 'valid_p@8': 0.73448, 'valid_p@15': 0.57994}, 'lr': 0.0005}
{'epoch': 5, 'train_loss': 0.00429, 'train_p@8': 0.70166, 'train_p@15': 0.54829, 'l2_loss': -0.59639, 'valid_loss': 0.00487, 'valid_p@8': 0.74128, 'valid_p@15': 0.58524, 'valid': {'acc_macro': 0.06556592108212175, 'prec_macro': 0.087035703225163, 'rec_macro': 0.09486416835459045, 'f1_macro': 0.09078147809457872, 'acc_micro': 0.3994017555043397, 'prec_micro': 0.5681104833647207, 'rec_micro': 0.573551158369129, 'f1_micro': 0.5708178568925644, 'rec_at_15': 0.5670181473033599, 'prec_at_15': 0.5850398528510116, 'f1_at_15': 0.5758880428203451, 'auc_macro': 0.9522181909682041, 'auc_micro': 0.9920372474239533, 'auprc_macro': 0.38447266679017944, 'auprc_micro': 0.5883075603900636, 'valid_p@8': 0.74128, 'valid_p@15': 0.58524}, 'lr': 0.0005}
{'epoch': 6, 'train_loss': 0.00419, 'train_p@8': 0.7102, 'train_p@15': 0.55524, 'l2_loss': -0.59466, 'valid_loss': 0.00485, 'valid_p@8': 0.7445, 'valid_p@15': 0.58601, 'valid': {'acc_macro': 0.0687258726218393, 'prec_macro': 0.0917781091762413, 'rec_macro': 0.098169819338609, 'f1_macro': 0.09486642436710063, 'acc_micro': 0.40140483124892923, 'prec_micro': 0.5683346039226558, 'rec_micro': 0.5774593338497289, 'f1_micro': 0.5728606356968216, 'rec_at_15': 0.5676324265378678, 'prec_at_15': 0.5858164725117515, 'f1_at_15': 0.5765811143808546, 'auc_macro': 0.9531085980084096, 'auc_micro': 0.9922311470670846, 'auprc_macro': 0.3935231181023769, 'auprc_micro': 0.5904296303805119, 'valid_p@8': 0.7445, 'valid_p@15': 0.58601}, 'lr': 0.0005}
{'epoch': 7, 'train_loss': 0.00411, 'train_p@8': 0.7165, 'train_p@15': 0.56114, 'l2_loss': -0.59306, 'valid_loss': 0.00481, 'valid_p@8': 0.74817, 'valid_p@15': 0.59507, 'valid': {'acc_macro': 0.07110397673609573, 'prec_macro': 0.09451108534627548, 'rec_macro': 0.09944220134455779, 'f1_macro': 0.09691395839327328, 'acc_micro': 0.4090864050733254, 'prec_micro': 0.5798455056179775, 'rec_micro': 0.5814379269065558, 'f1_micro': 0.580640624450617, 'rec_at_15': 0.5769650631548975, 'prec_at_15': 0.5950541590026568, 'f1_at_15': 0.5858700163595084, 'auc_macro': 0.9522499037654799, 'auc_micro': 0.9920351481563332, 'auprc_macro': 0.39645613575847666, 'auprc_micro': 0.5971429708265928, 'valid_p@8': 0.74817, 'valid_p@15': 0.59507}, 'lr': 0.0005}
{'epoch': 8, 'train_loss': 0.00404, 'train_p@8': 0.72255, 'train_p@15': 0.56581, 'l2_loss': -0.59209, 'valid_loss': 0.00485, 'valid_p@8': 0.74817, 'valid_p@15': 0.59225, 'valid': {'acc_macro': 0.07618270909972462, 'prec_macro': 0.0968891758858891, 'rec_macro': 0.1137400283322262, 'f1_macro': 0.10464054736621634, 'acc_micro': 0.39869633520129427, 'prec_micro': 0.5441105884611692, 'rec_micro': 0.5986902330821773, 'f1_micro': 0.5700970613380718, 'rec_at_15': 0.5734767859717782, 'prec_at_15': 0.5922338033926017, 'f1_at_15': 0.582704388571473, 'auc_macro': 0.9536448329439136, 'auc_micro': 0.9922922155439415, 'auprc_macro': 0.39834563606693035, 'auprc_micro': 0.5967021723144976, 'valid_p@8': 0.74817, 'valid_p@15': 0.59225}, 'lr': 0.0005}
{'epoch': 9, 'train_loss': 0.00398, 'train_p@8': 0.72679, 'train_p@15': 0.5699, 'l2_loss': -0.59111, 'valid_loss': 0.00476, 'valid_p@8': 0.75482, 'valid_p@15': 0.59804, 'valid': {'acc_macro': 0.07483699161210979, 'prec_macro': 0.09774435037155035, 'rec_macro': 0.10481601470334888, 'f1_macro': 0.10115674171425812, 'acc_micro': 0.4142959362431839, 'prec_micro': 0.5806418147866381, 'rec_micro': 0.591190761213999, 'f1_micro': 0.5858688066992325, 'rec_at_15': 0.5785970060163994, 'prec_at_15': 0.597874514612712, 'f1_at_15': 0.5880778209462137, 'auc_macro': 0.9532183135970307, 'auc_micro': 0.9923671056773514, 'auprc_macro': 0.4042384755398858, 'auprc_micro': 0.6053238385064685, 'valid_p@8': 0.75482, 'valid_p@15': 0.59804}, 'lr': 0.0005}
{'epoch': 10, 'train_loss': 0.00375, 'train_p@8': 0.74467, 'train_p@15': 0.58539, 'l2_loss': -0.59055, 'valid_loss': 0.00466, 'valid_p@8': 0.76193, 'valid_p@15': 0.60705, 'valid': {'acc_macro': 0.08144101560229115, 'prec_macro': 0.10415043368560388, 'rec_macro': 0.11498797037973665, 'f1_macro': 0.10930121568382005, 'acc_micro': 0.417916980765022, 'prec_micro': 0.5746480757013408, 'rec_micro': 0.6050982325188367, 'f1_micro': 0.589480183162119, 'rec_at_15': 0.5876274397705161, 'prec_at_15': 0.6070713263846311, 'f1_at_15': 0.5971911571141036, 'auc_macro': 0.9540422021856809, 'auc_micro': 0.9927224339882992, 'auprc_macro': 0.41644254076364146, 'auprc_micro': 0.6160977683755785, 'valid_p@8': 0.76193, 'valid_p@15': 0.60705}, 'lr': 0.00015}
{'epoch': 11, 'train_loss': 0.0037, 'train_p@8': 0.74878, 'train_p@15': 0.58892, 'l2_loss': -0.59057, 'valid_loss': 0.00469, 'valid_p@8': 0.76246, 'valid_p@15': 0.6053, 'valid': {'acc_macro': 0.08399925855113574, 'prec_macro': 0.10661396772392008, 'rec_macro': 0.1185866108409372, 'f1_macro': 0.1122820303682621, 'acc_micro': 0.4177480318751956, 'prec_micro': 0.5691606258405222, 'rec_micro': 0.6109428913456799, 'f1_micro': 0.5893120956375554, 'rec_at_15': 0.5858185614440993, 'prec_at_15': 0.6053137134682199, 'f1_at_15': 0.5954065997790903, 'auc_macro': 0.953736997509561, 'auc_micro': 0.9926911038408881, 'auprc_macro': 0.4181391100068961, 'auprc_micro': 0.6155727155463878, 'valid_p@8': 0.76246, 'valid_p@15': 0.6053}, 'lr': 0.00015}
