{'epoch': 1, 'train_loss': 0.00631, 'train_p@8': 0.53286, 'train_p@15': 0.41176, 'l2_loss': -0.33634, 'lr': 0.0005, 'valid_loss': 0.00566, 'valid_p@8': 0.6766500000000001, 'valid_p@15': 0.5262600000000001, 'valid': {'acc_macro': 0.03166381820015103, 'prec_macro': 0.04529872991289807, 'rec_macro': 0.05236370364381924, 'f1_macro': 0.048575674027677464, 'acc_micro': 0.3470134590824246, 'prec_micro': 0.5343191014635253, 'rec_micro': 0.49746496725582706, 'f1_micro': 0.5152338408241407, 'rec_at_15': 0.5092740983524305, 'prec_at_15': 0.5263028816676886, 'f1_at_15': 0.517648481364255, 'auc_macro': 0.9237892442989251, 'auc_micro': 0.9866344060138194, 'auprc_macro': 0.24822514403360127, 'auprc_micro': 0.5056124308931831, 'valid_p@8': 0.6766500000000001, 'valid_p@15': 0.5262600000000001}}
{'epoch': 2, 'train_loss': 0.00492, 'train_p@8': 0.64165, 'train_p@15': 0.49985, 'l2_loss': -0.59073, 'lr': 0.0005, 'valid_loss': 0.00523, 'valid_p@8': 0.7068500000000001, 'valid_p@15': 0.5552, 'valid': {'acc_macro': 0.04164248793599155, 'prec_macro': 0.05835925208872616, 'rec_macro': 0.060149420590535324, 'f1_macro': 0.05924081537448778, 'acc_micro': 0.3716818734007082, 'prec_micro': 0.5829650950662829, 'rec_micro': 0.5063023730723188, 'f1_micro': 0.5419359701520662, 'rec_at_15': 0.5394630773204776, 'prec_at_15': 0.5552013079910075, 'f1_at_15': 0.5472190566535292, 'auc_macro': 0.9421999590848935, 'auc_micro': 0.9899470620070256, 'auprc_macro': 0.3255317375616663, 'auprc_micro': 0.5457595890818538, 'valid_p@8': 0.7068500000000001, 'valid_p@15': 0.5552}}
{'epoch': 3, 'train_loss': 0.0046, 'train_p@8': 0.6728700000000001, 'train_p@15': 0.5251300000000001, 'l2_loss': -0.60403, 'lr': 0.0005, 'valid_loss': 0.00505, 'valid_p@8': 0.72391, 'valid_p@15': 0.56869, 'valid': {'acc_macro': 0.055453569347830876, 'prec_macro': 0.07519891307719148, 'rec_macro': 0.07971141390974515, 'f1_macro': 0.07738943945763462, 'acc_micro': 0.38527211826630064, 'prec_micro': 0.5750479269255347, 'rec_micro': 0.5386240405605239, 'f1_micro': 0.5562403417871103, 'rec_at_15': 0.55275028250639, 'prec_at_15': 0.5686899652564888, 'f1_at_15': 0.5606068438887334, 'auc_macro': 0.9478829141468001, 'auc_micro': 0.991060506961022, 'auprc_macro': 0.3503391316713014, 'auprc_micro': 0.5668317256713302, 'valid_p@8': 0.72391, 'valid_p@15': 0.56869}}
{'epoch': 4, 'train_loss': 0.00441, 'train_p@8': 0.69088, 'train_p@15': 0.5383800000000001, 'l2_loss': -0.60389, 'lr': 0.0005, 'valid_loss': 0.00494, 'valid_p@8': 0.7314200000000001, 'valid_p@15': 0.57745, 'valid': {'acc_macro': 0.05848047796753264, 'prec_macro': 0.07868488572729589, 'rec_macro': 0.08254422394043724, 'f1_macro': 0.08056836438018823, 'acc_micro': 0.3985523694232176, 'prec_micro': 0.5841712257873725, 'rec_micro': 0.556404478557848, 'f1_micro': 0.5699498683593609, 'rec_at_15': 0.5611770051495313, 'prec_at_15': 0.5774780298385448, 'f1_at_15': 0.5692108344786617, 'auc_macro': 0.9493228570145387, 'auc_micro': 0.9912897156133551, 'auprc_macro': 0.3683658716935492, 'auprc_micro': 0.5789515076764302, 'valid_p@8': 0.7314200000000001, 'valid_p@15': 0.57745}}
{'epoch': 5, 'train_loss': 0.00429, 'train_p@8': 0.7029200000000001, 'train_p@15': 0.5489, 'l2_loss': -0.60231, 'lr': 0.0005, 'valid_loss': 0.00492, 'valid_p@8': 0.7396900000000001, 'valid_p@15': 0.5841500000000001, 'valid': {'acc_macro': 0.06344163374090052, 'prec_macro': 0.08404483557583325, 'rec_macro': 0.09245044206301727, 'f1_macro': 0.08804747986513878, 'acc_micro': 0.3961784051082625, 'prec_micro': 0.5545698924731183, 'rec_micro': 0.5810858390254208, 'f1_micro': 0.5675183109246588, 'rec_at_15': 0.5663619144858504, 'prec_at_15': 0.5841814837522992, 'f1_at_15': 0.5751337047377556, 'auc_macro': 0.9510688422131351, 'auc_micro': 0.9917892627612224, 'auprc_macro': 0.3810296430892525, 'auprc_micro': 0.5869993980824104, 'valid_p@8': 0.7396900000000001, 'valid_p@15': 0.5841500000000001}}
{'epoch': 6, 'train_loss': 0.00419, 'train_p@8': 0.71038, 'train_p@15': 0.5558700000000001, 'l2_loss': -0.60078, 'lr': 0.0005, 'valid_loss': 0.00485, 'valid_p@8': 0.7440000000000001, 'valid_p@15': 0.58864, 'valid': {'acc_macro': 0.06878848416778971, 'prec_macro': 0.08883195535412801, 'rec_macro': 0.10068772499637536, 'f1_macro': 0.09438900989116172, 'acc_micro': 0.4047636232407073, 'prec_micro': 0.5610431186847634, 'rec_micro': 0.592352651221745, 'f1_micro': 0.5762729281200226, 'rec_at_15': 0.5701053064589241, 'prec_at_15': 0.5886368281218066, 'f1_at_15': 0.5792228819068822, 'auc_macro': 0.9523781431923996, 'auc_micro': 0.9918238231305375, 'auprc_macro': 0.3861656186236819, 'auprc_micro': 0.5945481028221219, 'valid_p@8': 0.7440000000000001, 'valid_p@15': 0.58864}}
{'epoch': 7, 'train_loss': 0.00411, 'train_p@8': 0.7175800000000001, 'train_p@15': 0.56206, 'l2_loss': -0.59917, 'lr': 0.0005, 'valid_loss': 0.00479, 'valid_p@8': 0.7439600000000001, 'valid_p@15': 0.5919500000000001, 'valid': {'acc_macro': 0.07208340065358698, 'prec_macro': 0.09503291336692195, 'rec_macro': 0.1007444548254102, 'f1_macro': 0.09780537082524707, 'acc_micro': 0.4099485420240137, 'prec_micro': 0.5823915807317418, 'rec_micro': 0.5806281247799451, 'f1_micro': 0.5815085158150852, 'rec_at_15': 0.5743067137407717, 'prec_at_15': 0.5919476803596976, 'f1_at_15': 0.5829937768870077, 'auc_macro': 0.9536643324206866, 'auc_micro': 0.9922876872175357, 'auprc_macro': 0.4024317948508729, 'auprc_micro': 0.597866833384318, 'valid_p@8': 0.7439600000000001, 'valid_p@15': 0.5919500000000001}}
{'epoch': 8, 'train_loss': 0.00404, 'train_p@8': 0.7238300000000001, 'train_p@15': 0.5670700000000001, 'l2_loss': -0.59867, 'lr': 0.0005, 'valid_loss': 0.00482, 'valid_p@8': 0.7457900000000001, 'valid_p@15': 0.59038, 'valid': {'acc_macro': 0.07466486615605465, 'prec_macro': 0.0960107599317132, 'rec_macro': 0.1099795008648543, 'f1_macro': 0.10252150188181249, 'acc_micro': 0.40088614456411586, 'prec_micro': 0.5480202326105866, 'rec_micro': 0.5989014858108583, 'f1_micro': 0.5723322285964233, 'rec_at_15': 0.5733457869160574, 'prec_at_15': 0.5903944410382179, 'f1_at_15': 0.5817452336127767, 'auc_macro': 0.9534303234463396, 'auc_micro': 0.9923688190103269, 'auprc_macro': 0.3982959562187688, 'auprc_micro': 0.5969426283131736, 'valid_p@8': 0.7457900000000001, 'valid_p@15': 0.59038}}
{'epoch': 9, 'train_loss': 0.00398, 'train_p@8': 0.7286900000000001, 'train_p@15': 0.57104, 'l2_loss': -0.59805, 'lr': 0.00015, 'valid_loss': 0.00476, 'valid_p@8': 0.7529, 'valid_p@15': 0.5974900000000001, 'valid': {'acc_macro': 0.07038338625151297, 'prec_macro': 0.09404571455394803, 'rec_macro': 0.09537493069834545, 'f1_macro': 0.09470565889069125, 'acc_micro': 0.4132729631419632, 'prec_micro': 0.5982399293025996, 'rec_micro': 0.5720371804802479, 'f1_micro': 0.5848452123830093, 'rec_at_15': 0.5785570280935961, 'prec_at_15': 0.5975066421418352, 'f1_at_15': 0.5878791699680026, 'auc_macro': 0.9540807893844937, 'auc_micro': 0.9925680498241133, 'auprc_macro': 0.4077798341990378, 'auprc_micro': 0.6039371242730478, 'valid_p@8': 0.7529, 'valid_p@15': 0.5974900000000001}}
{'epoch': 10, 'train_loss': 0.00375, 'train_p@8': 0.7459, 'train_p@15': 0.5867100000000001, 'l2_loss': -0.59783, 'lr': 0.00015, 'valid_loss': 0.00467, 'valid_p@8': 0.76009, 'valid_p@15': 0.6063200000000001, 'valid': {'acc_macro': 0.08430822911167225, 'prec_macro': 0.1068250736017674, 'rec_macro': 0.12150516598775077, 'f1_macro': 0.1136932043952736, 'acc_micro': 0.4141059477801866, 'prec_micro': 0.5559844338279495, 'rec_micro': 0.6187240335187663, 'f1_micro': 0.58567881484444, 'rec_at_15': 0.5868871513681945, 'prec_at_15': 0.6063355814428776, 'f1_at_15': 0.5964528706687515, 'auc_macro': 0.95402428724336, 'auc_micro': 0.9928200251335122, 'auprc_macro': 0.41579412942779986, 'auprc_micro': 0.6169199970748511, 'valid_p@8': 0.76009, 'valid_p@15': 0.6063200000000001}}
{'epoch': 11, 'train_loss': 0.0037, 'train_p@8': 0.75094, 'train_p@15': 0.5903400000000001, 'l2_loss': -0.59783, 'lr': 0.00015, 'valid_loss': 0.00467, 'valid_p@8': 0.7651000000000001, 'valid_p@15': 0.6072500000000001, 'valid': {'acc_macro': 0.08508615447252961, 'prec_macro': 0.1083662342057194, 'rec_macro': 0.12048633806669082, 'f1_macro': 0.11410534388910229, 'acc_micro': 0.4168659143075746, 'prec_micro': 0.5650257640081667, 'rec_micro': 0.6138652207591014, 'f1_micro': 0.5884338243979818, 'rec_at_15': 0.5880758531954441, 'prec_at_15': 0.6072756999795627, 'f1_at_15': 0.5975215817334647, 'auc_macro': 0.9538478550142222, 'auc_micro': 0.9927802027427723, 'auprc_macro': 0.41361440576703373, 'auprc_micro': 0.6176260109029619, 'valid_p@8': 0.7651000000000001, 'valid_p@15': 0.6072500000000001}}
{'epoch': 12, 'train_loss': 0.00367, 'train_p@8': 0.7529600000000001, 'train_p@15': 0.59238, 'l2_loss': -0.59771, 'lr': 4.4999999999999996e-05, 'valid_loss': 0.00467, 'valid_p@8': 0.7635700000000001, 'valid_p@15': 0.60699, 'valid': {'acc_macro': 0.0840726372809178, 'prec_macro': 0.10777156781594044, 'rec_macro': 0.1165093214306661, 'f1_macro': 0.11197023765986532, 'acc_micro': 0.41796922478547294, 'prec_micro': 0.5744929666878279, 'rec_micro': 0.6053799028237448, 'f1_micro': 0.5895321527146801, 'rec_at_15': 0.5878593390087031, 'prec_at_15': 0.6069895769466584, 'f1_at_15': 0.5972713147648964, 'auc_macro': 0.9536687525313203, 'auc_micro': 0.9927070371022375, 'auprc_macro': 0.4137947260367429, 'auprc_micro': 0.6174777503017506, 'valid_p@8': 0.7635700000000001, 'valid_p@15': 0.60699}}
{'epoch': 13, 'train_loss': 0.00358, 'train_p@8': 0.7592200000000001, 'train_p@15': 0.59753, 'l2_loss': -0.59756, 'lr': 4.4999999999999996e-05, 'valid_loss': 0.00467, 'valid_p@8': 0.7657900000000001, 'valid_p@15': 0.6087800000000001, 'valid': {'acc_macro': 0.08706881141265048, 'prec_macro': 0.11038999764814203, 'rec_macro': 0.12240858158266413, 'f1_macro': 0.11608905069498436, 'acc_micro': 0.42025810179611883, 'prec_micro': 0.5706672769477229, 'rec_micro': 0.6145693965213718, 'f1_micro': 0.5918052518266117, 'rec_at_15': 0.5893974353549793, 'prec_at_15': 0.608788064582056, 'f1_at_15': 0.5989358475098242, 'auc_macro': 0.9532468959482036, 'auc_micro': 0.9927724440890874, 'auprc_macro': 0.41519582398855204, 'auprc_micro': 0.6205353918290187, 'valid_p@8': 0.7657900000000001, 'valid_p@15': 0.6087800000000001}}
{'epoch': 14, 'train_loss': 0.00356, 'train_p@8': 0.7607700000000001, 'train_p@15': 0.5990700000000001, 'l2_loss': -0.59745, 'lr': 4.4999999999999996e-05, 'valid_loss': 0.00466, 'valid_p@8': 0.7657, 'valid_p@15': 0.6102500000000001, 'valid': {'acc_macro': 0.08706412812774136, 'prec_macro': 0.10921599385506071, 'rec_macro': 0.12383324818196326, 'f1_macro': 0.11606621119449846, 'acc_micro': 0.41823741608734083, 'prec_micro': 0.5653985273220514, 'rec_micro': 0.6164002535032744, 'f1_micro': 0.5897988747768083, 'rec_at_15': 0.5900804544142725, 'prec_at_15': 0.610259554465563, 'f1_at_15': 0.6000003874664487, 'auc_macro': 0.9531036190892034, 'auc_micro': 0.9927558313213399, 'auprc_macro': 0.4154933663550751, 'auprc_micro': 0.6207418518832475, 'valid_p@8': 0.7657, 'valid_p@15': 0.6102500000000001}}
{'epoch': 15, 'train_loss': 0.00355, 'train_p@8': 0.7614500000000001, 'train_p@15': 0.5996600000000001, 'l2_loss': -0.59742, 'lr': 1.3499999999999998e-05, 'valid_loss': 0.00468, 'valid_p@8': 0.7659900000000001, 'valid_p@15': 0.6107100000000001, 'valid': {'acc_macro': 0.08679766901680931, 'prec_macro': 0.11007609164759519, 'rec_macro': 0.1207682087039111, 'f1_macro': 0.11517453443004946, 'acc_micro': 0.4220689320152535, 'prec_micro': 0.5764280501559079, 'rec_micro': 0.6118231110485177, 'f1_micro': 0.5935984149757465, 'rec_at_15': 0.5913092598739449, 'prec_at_15': 0.6107091763744124, 'f1_at_15': 0.6008526661325969, 'auc_macro': 0.9525305451499017, 'auc_micro': 0.9926989344198527, 'auprc_macro': 0.4177668210807436, 'auprc_micro': 0.6213381430595672, 'valid_p@8': 0.7659900000000001, 'valid_p@15': 0.6107100000000001}}
{'epoch': 16, 'train_loss': 0.00352, 'train_p@8': 0.7636700000000001, 'train_p@15': 0.60157, 'l2_loss': -0.59733, 'lr': 1.3499999999999998e-05, 'valid_loss': 0.00468, 'valid_p@8': 0.7661800000000001, 'valid_p@15': 0.61058, 'valid': {'acc_macro': 0.08804694447309848, 'prec_macro': 0.1108587187338691, 'rec_macro': 0.12407198717682848, 'f1_macro': 0.11709377431842918, 'acc_micro': 0.4198046753742926, 'prec_micro': 0.5660699336724837, 'rec_micro': 0.6190057038236744, 'f1_micro': 0.591355533131517, 'rec_at_15': 0.5908495799138516, 'prec_at_15': 0.6105865522174535, 'f1_at_15': 0.6005559483861125, 'auc_macro': 0.9525682918204784, 'auc_micro': 0.9927129970413527, 'auprc_macro': 0.4179851982973759, 'auprc_micro': 0.6211733620599269, 'valid_p@8': 0.7661800000000001, 'valid_p@15': 0.61058}}
{'epoch': 17, 'train_loss': 0.00352, 'train_p@8': 0.76446, 'train_p@15': 0.6015400000000001, 'l2_loss': -0.59728, 'lr': 1.3499999999999998e-05, 'valid_loss': 0.00469, 'valid_p@8': 0.7673300000000001, 'valid_p@15': 0.6107, 'valid': {'acc_macro': 0.08769261832588503, 'prec_macro': 0.1110600786415167, 'rec_macro': 0.12222220444427284, 'f1_macro': 0.11637409800493623, 'acc_micro': 0.4212550803173989, 'prec_micro': 0.5737964213925594, 'rec_micro': 0.6130906274206042, 'f1_micro': 0.5927930688181926, 'rec_at_15': 0.5907425820415055, 'prec_at_15': 0.6107091763744124, 'f1_at_15': 0.6005599695547156, 'auc_macro': 0.9526946833871629, 'auc_micro': 0.9927018806069119, 'auprc_macro': 0.41754385502851515, 'auprc_micro': 0.6211022556814609, 'valid_p@8': 0.7673300000000001, 'valid_p@15': 0.6107}}
{'epoch': 18, 'train_loss': 0.00352, 'train_p@8': 0.76429, 'train_p@15': 0.6022000000000001, 'l2_loss': -0.59724, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.7687, 'valid_p@15': 0.6097300000000001, 'valid': {'acc_macro': 0.08828670038194998, 'prec_macro': 0.1115079624926523, 'rec_macro': 0.12372944312384285, 'f1_macro': 0.11730122653693112, 'acc_micro': 0.4199267681634226, 'prec_micro': 0.5707550258660206, 'rec_micro': 0.6137595943947609, 'f1_micro': 0.5914766558089033, 'rec_at_15': 0.5901955298087015, 'prec_at_15': 0.609728183118741, 'f1_at_15': 0.599802877796486, 'auc_macro': 0.9526861877463345, 'auc_micro': 0.9927030279740284, 'auprc_macro': 0.41707756228396003, 'auprc_micro': 0.6207397247816464, 'valid_p@8': 0.7687, 'valid_p@15': 0.6097300000000001}}
{'epoch': 19, 'train_loss': 0.00351, 'train_p@8': 0.76543, 'train_p@15': 0.6028600000000001, 'l2_loss': -0.59728, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.76809, 'valid_p@15': 0.61058, 'valid': {'acc_macro': 0.08815830281116463, 'prec_macro': 0.11141572957686771, 'rec_macro': 0.12316199610131726, 'f1_macro': 0.11699477102610277, 'acc_micro': 0.42072891290190306, 'prec_micro': 0.5719016393442623, 'rec_micro': 0.6141468910640095, 'f1_micro': 0.5922719092730298, 'rec_at_15': 0.5909930989431567, 'prec_at_15': 0.6105865522174535, 'f1_at_15': 0.600630076115989, 'auc_macro': 0.9525904389524541, 'auc_micro': 0.9927005555546573, 'auprc_macro': 0.4186035366663939, 'auprc_micro': 0.6212459934584698, 'valid_p@8': 0.76809, 'valid_p@15': 0.61058}}
{'epoch': 20, 'train_loss': 0.00351, 'train_p@8': 0.7645700000000001, 'train_p@15': 0.6026100000000001, 'l2_loss': -0.59727, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.7671000000000001, 'valid_p@15': 0.6099300000000001, 'valid': {'acc_macro': 0.08829107964899831, 'prec_macro': 0.11143308706126621, 'rec_macro': 0.12427658992464471, 'f1_macro': 0.11750492590576145, 'acc_micro': 0.41900978726459115, 'prec_micro': 0.5667216881897919, 'rec_micro': 0.616505879867615, 'f1_micro': 0.5905664513735476, 'rec_at_15': 0.5903030342594331, 'prec_at_15': 0.6099325567136725, 'f1_at_15': 0.5999572777704146, 'auc_macro': 0.9525890438694415, 'auc_micro': 0.9926861894187501, 'auprc_macro': 0.4178904343976163, 'auprc_micro': 0.6205731230269677, 'valid_p@8': 0.7671000000000001, 'valid_p@15': 0.6099300000000001}}
{'epoch': 21, 'train_loss': 0.0035, 'train_p@8': 0.7653200000000001, 'train_p@15': 0.60319, 'l2_loss': -0.59725, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.76763, 'valid_p@15': 0.61051, 'valid': {'acc_macro': 0.08866885305718329, 'prec_macro': 0.11182342758016003, 'rec_macro': 0.1241643276932162, 'f1_macro': 0.11767119603097513, 'acc_micro': 0.41977025827957504, 'prec_micro': 0.5682932372325574, 'rec_micro': 0.6162946271389339, 'f1_micro': 0.5913213857405876, 'rec_at_15': 0.5909797900650786, 'prec_at_15': 0.6105048027794808, 'f1_at_15': 0.6005836484779915, 'auc_macro': 0.9525557012137702, 'auc_micro': 0.9927001129242303, 'auprc_macro': 0.4177307254996052, 'auprc_micro': 0.6210537695099152, 'valid_p@8': 0.76763, 'valid_p@15': 0.61051}}
{'epoch': 22, 'train_loss': 0.0035, 'train_p@8': 0.76544, 'train_p@15': 0.6029300000000001, 'l2_loss': -0.59723, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.76763, 'valid_p@15': 0.61067, 'valid': {'acc_macro': 0.08862726090363635, 'prec_macro': 0.11220014744852852, 'rec_macro': 0.12381186676978032, 'f1_macro': 0.11772036057958661, 'acc_micro': 0.42044470112619114, 'prec_micro': 0.5704956572846601, 'rec_micro': 0.6151679459193015, 'f1_micro': 0.5919902419190892, 'rec_at_15': 0.5908128943042316, 'prec_at_15': 0.6106683016554261, 'f1_at_15': 0.6005765349872462, 'auc_macro': 0.9525536469232138, 'auc_micro': 0.992688962465053, 'auprc_macro': 0.4186999924896592, 'auprc_micro': 0.621103420283689, 'valid_p@8': 0.76763, 'valid_p@15': 0.61067}}
{'epoch': 23, 'train_loss': 0.0035, 'train_p@8': 0.76583, 'train_p@15': 0.6032200000000001, 'l2_loss': -0.59721, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.7674000000000001, 'valid_p@15': 0.61067, 'valid': {'acc_macro': 0.08813848483206116, 'prec_macro': 0.11113428023179127, 'rec_macro': 0.1240162148818569, 'f1_macro': 0.11722240066987971, 'acc_micro': 0.4192729536855213, 'prec_micro': 0.5672628304821151, 'rec_micro': 0.6164354622913879, 'f1_micro': 0.5908277933385078, 'rec_at_15': 0.5908921206987834, 'prec_at_15': 0.6106683016554261, 'f1_at_15': 0.6006174655814801, 'auc_macro': 0.9525263923721364, 'auc_micro': 0.9926862832835167, 'auprc_macro': 0.41819719038598563, 'auprc_micro': 0.6209377155173103, 'valid_p@8': 0.7674000000000001, 'valid_p@15': 0.61067}}
{'epoch': 24, 'train_loss': 0.0035, 'train_p@8': 0.76561, 'train_p@15': 0.60338, 'l2_loss': -0.59721, 'lr': 4.049999999999999e-06, 'valid_loss': 0.00469, 'valid_p@8': 0.76778, 'valid_p@15': 0.6103400000000001, 'valid': {'acc_macro': 0.08868877828497132, 'prec_macro': 0.11196366790617748, 'rec_macro': 0.12406728314576598, 'f1_macro': 0.11770514016271728, 'acc_micro': 0.4200134511913912, 'prec_micro': 0.5692798541476755, 'rec_micro': 0.6156608689528906, 'f1_micro': 0.5915626374369903, 'rec_at_15': 0.5905769681367956, 'prec_at_15': 0.6103413039035356, 'f1_at_15': 0.6002964984046862, 'auc_macro': 0.9524865084415935, 'auc_micro': 0.9926877439235955, 'auprc_macro': 0.41900214961801946, 'auprc_micro': 0.6209843643713318, 'valid_p@8': 0.76778, 'valid_p@15': 0.6103400000000001}}
{'epoch': 'test', 'test_loss': 0.00485, 'test_p@8': 0.7649, 'test_p@15': 0.61362, 'test': {'acc_macro': 0.10009824910979728, 'prec_macro': 0.13084176307870066, 'rec_macro': 0.15087864877702592, 'f1_macro': 0.14014766119984165, 'acc_micro': 0.4165608102791236, 'prec_micro': 0.567065052718564, 'rec_micro': 0.6108198991197705, 'f1_micro': 0.5881297961321451, 'rec_at_15': 0.5749975136668558, 'prec_at_15': 0.6136219849742981, 'f1_at_15': 0.5936821936623177, 'auc_macro': 0.9557612832865252, 'auc_micro': 0.9928082321461129, 'auprc_macro': 0.35454582516153177, 'auprc_micro': 0.6174580755526202, 'test_p@8': 0.7649, 'test_p@15': 0.61362}, 'lr': 4.049999999999999e-06}
